feature,standardized_coefficient,odds_ratio,permutation_importance_mean,permutation_importance_std,coefficient_ci_low,coefficient_ci_high
vad_arousal,-2.2545309254227415,0.10492274878899802,0.34448,0.08634828081670184,-2.8532017698860384,-1.7615287112010107
word_count,-1.2866578359652157,0.2761923223106383,0.06448000000000001,0.030714582855705535,-2.322323591714795,-0.7555379841607882
vad_valence,-0.2172945716057239,0.8046928947108842,0.00032000000000003136,0.004868839697504952,-0.6521287592868635,0.3361012925484456
main_topic_present,0.0,1.0,0.0,0.0,0.0,0.0
vad_dominance,0.06214062310619489,1.064111972938169,-0.002399999999999991,0.003487119154832529,-0.4217524225758236,0.46864396861248603
entity_count,-0.4324897184184772,0.648891524731267,-0.003039999999999976,0.00859990697624108,-0.8521149137237488,-0.02736493318794951
subtopic_count,0.37939798696464727,1.461404539977191,-0.004799999999999971,0.006992567482691884,0.013709745192053258,0.9184236483955803
has_internal_contradiction,0.20329374209284046,1.2254323764557107,-0.006479999999999991,0.004865552383851203,-0.4467604271757628,0.8537904537784728
internal_contradiction_score,0.1362859044006816,1.1460094959192633,-0.006959999999999999,0.0047267747989511825,-0.5506271486546559,1.0256752455395217
relation_count,0.13014325484493502,1.1389915376941306,-0.007519999999999971,0.003686949958976912,-0.37433125780655857,0.6324557885550933
